#{"t_start": 1679129678.333805, "env_id": null}
r,l,t
76.879583,51,29.615078
280.576631,177,29.735046
1302.672933,500,30.064613
343.563619,216,30.209613
130.01424,111,30.351316
120.56483,78,30.403407
122.170434,79,30.456039
18.946214,20,30.46949
497.025301,413,30.745715
608.809212,500,32.109648
201.510724,169,32.232422
247.230191,207,32.380969
102.155813,88,32.442303
48.45126,44,32.473071
699.383554,271,32.658865
267.875834,224,32.867884
741.006649,287,33.071813
283.622201,179,33.193292
191.285153,122,33.289838
245.429957,204,33.429253
116.682292,100,33.502544
808.718051,500,34.7329
808.891301,500,35.067994
1302.435255,500,35.400511
58.490294,25,35.417814
471.554734,387,35.691316
203.077198,129,35.785168
20.209475,16,35.798055
277.257631,109,36.897609
246.036956,97,36.973583
595.051957,231,37.16558
64.338129,57,37.21154
628.067097,392,37.489528
1113.593055,430,37.807912
126.765058,82,37.866126
793.069111,494,38.245862
85.717225,75,38.305993
808.667113,500,39.554002
90.684274,79,39.606591
272.465828,172,39.721434
107.798365,93,39.783523
1302.42657,500,40.121637
404.713054,254,40.306559
808.559284,500,40.6622
631.656907,245,41.711789
104.199822,68,41.756777
516.825242,201,41.889697
200.925371,169,42.004286
298.259622,188,42.135426
144.532408,122,42.219405
619.825183,387,42.475387
120.41344,103,42.543527
167.587639,141,42.636328
967.594941,374,42.890326
808.309048,500,44.122076
608.557624,500,44.461108
448.85274,373,44.710847
609.24838,500,45.045591
1302.49582,500,46.213658
808.510149,500,46.555189
420.380411,349,46.789166
610.947512,500,47.132743
613.41556,500,47.489826
1302.432587,500,48.787648
629.005132,244,48.968146
1302.382462,500,49.33342
1302.411879,500,49.714602
808.619072,500,50.940032
705.766355,440,51.243467
97.486429,83,51.29898
808.929348,500,51.62739
143.764866,121,51.713335
67.181121,45,51.744397
155.638028,132,51.832892
113.079823,96,51.900474
58.831569,52,51.936406
24.393235,24,51.954606
105.004508,89,52.015396
1302.283324,500,53.215412
607.925859,500,53.556717
1302.579198,500,53.89544
808.714894,500,54.229221
808.409149,500,55.403866
808.877259,500,55.770767
617.565227,500,56.126031
163.112961,137,56.228609
609.230295,500,56.5685
501.24385,195,56.698143
1302.665141,500,58.120226
609.513851,500,58.466289
808.603721,500,58.81642
616.554641,500,59.154268
617.867034,500,60.363175
1302.599657,500,60.694794
808.669759,500,61.042513
609.390118,500,61.375356
317.191206,265,62.401021
84.580295,74,62.451113
117.591904,100,62.518831
614.934401,500,62.867563
466.785064,292,63.06105
357.918886,294,63.261739
401.04202,334,63.491551
1302.571548,500,64.720849
614.259766,500,65.062967
1302.426903,500,65.390841
609.178381,500,65.744993
1302.386995,500,67.052078
613.895535,500,67.403355
611.965006,500,67.737714
609.723121,500,68.095892
1230.697693,475,69.476513
121.003329,49,69.509807
1302.34812,500,69.858074
1009.06458,390,70.119762
776.099834,484,70.449336
808.255861,500,70.786621
1302.534661,500,72.016961
808.412321,500,72.361748
808.783,500,72.703148
616.503678,500,73.031158
615.382528,500,74.218512
1302.214534,500,74.545879
53.321501,23,74.561354
613.571949,500,74.912975
609.51636,500,75.254057
456.432237,286,76.374651
490.362694,307,76.589257
277.277663,109,76.661411
813.803645,315,76.884681
42.375893,39,76.911571
399.978348,251,77.104166
695.569413,434,77.418926
103.37275,89,77.481729
805.881372,312,77.70235
807.908064,500,78.9632
808.209855,500,79.290828
611.200935,500,79.6329
808.391312,500,79.971759
808.728036,500,81.163485
608.97511,500,81.494818
614.506909,500,81.840247
614.713031,500,82.182839
808.99396,500,83.492828
616.90355,500,83.826636
1302.669089,500,84.165832
617.517344,500,84.494958
731.784648,456,85.67521
1302.6421,500,86.009335
148.20953,124,86.107343
607.920088,500,86.475854
606.579315,500,86.812638
1302.642459,500,88.199398
808.957017,500,88.57056
133.523365,114,88.660164
618.723031,500,88.993125
808.888615,500,89.331324
1302.490703,500,90.592634
607.442056,500,90.932214
607.41949,500,91.271563
608.050295,500,91.617516
1302.550574,500,92.836289
615.868778,500,93.180632
1302.363912,500,93.507221
616.974307,500,93.840417
609.841471,500,95.08376
609.830761,500,95.428362
808.08737,500,95.772371
612.967564,500,96.122384
808.225408,500,97.454583
610.740479,500,97.858451
1302.167046,500,98.214004
486.181447,402,98.554968
58.939988,40,98.581867
342.319512,285,98.778031
612.917707,500,100.060663
609.680721,500,100.407346
808.321326,500,100.735557
808.175562,500,101.079128
850.282201,329,102.198664
614.671255,500,102.53521
608.927178,500,102.921183
1302.291064,500,103.309725
1302.438848,500,104.833625
808.867136,500,105.182985
618.896152,500,105.517775
1302.613547,500,105.865844
426.439371,349,106.105582
608.899578,500,107.379501
615.741127,500,107.723962
300.993473,249,107.895007
1302.445137,500,108.245077
1302.439555,500,109.815586
609.188823,500,110.170472
808.424907,500,110.519509
614.141285,500,110.862137
613.34202,500,112.572078
612.026568,500,112.98176
1302.549249,500,113.345658
609.774283,500,113.702498
612.374651,500,114.917963
1302.487616,500,115.26246
1302.538797,500,115.599937
1302.53008,500,115.954381
1302.499167,500,117.322739
807.864668,500,117.689481
807.511338,500,118.04406
