#{"t_start": 1679047616.014276, "env_id": null}
r,l,t
123.013506,100,10.790799
121.790985,100,10.80919
121.881258,100,10.826835
260.518128,100,10.844108
122.918942,100,10.860908
122.869962,100,10.877799
161.712246,100,10.89461
113.301784,97,10.911832
194.014289,77,10.925509
100.219584,41,10.932942
260.469336,100,10.975829
161.288213,100,10.992672
122.986476,100,11.00931
161.684988,100,11.025997
122.928489,100,11.043665
121.776728,100,11.061025
122.93251,100,11.07772
12.913597,15,11.080375
121.696789,100,11.096932
23.487937,18,11.100108
161.492053,100,11.116987
161.684373,100,11.134702
161.814934,100,11.154762
122.261985,100,11.608631
260.489489,100,11.625277
161.791224,100,11.642873
122.018313,100,11.660221
123.652542,100,11.677885
121.409168,100,11.694547
161.709473,100,11.712255
260.53723,100,11.729398
260.531085,100,11.746504
161.812236,100,11.767491
123.578493,100,11.78487
161.709726,100,11.8029
122.600867,100,11.819463
260.491102,100,11.836048
78.869812,68,11.847609
121.909636,100,11.864039
167.948597,67,11.876197
63.715461,57,11.886114
121.827247,100,11.903315
260.433419,100,11.920291
121.943166,100,11.940704
122.426577,100,12.350699
122.027887,100,12.367408
121.938453,100,12.384896
13.783566,12,12.387206
121.897275,100,12.404138
121.664606,100,12.421477
260.531085,100,12.438563
123.329514,100,12.456566
260.461498,100,12.473649
161.522538,100,12.490926
260.53352,100,12.509167
121.866602,100,12.526263
260.513702,100,12.543029
260.536446,100,12.56041
161.661486,100,12.577784
260.533385,100,12.595143
28.774877,28,12.599944
161.679553,100,12.616644
161.739499,100,12.633341
121.488748,100,12.650547
123.866802,100,12.66805
122.18826,100,12.689116
122.012623,100,13.098237
161.530332,100,13.11641
260.485316,100,13.133111
122.442114,100,13.151039
122.688009,100,13.168238
121.94969,100,13.186033
123.855759,100,13.203382
260.558113,100,13.220331
260.445745,100,13.23729
123.016383,100,13.257912
87.179917,36,13.264114
161.578144,100,13.281531
121.88798,100,13.298248
123.284902,100,13.316353
121.822047,100,13.334138
121.956002,100,13.351508
123.690863,100,13.368287
260.537526,100,13.385547
0.840741,5,13.386615
87.228938,75,13.399579
260.389706,100,13.416674
161.771529,100,13.435735
161.760162,100,13.843214
161.595383,100,13.860244
260.545015,100,13.877079
121.954704,100,13.894731
121.759934,100,13.912484
121.523103,100,13.92986
161.701379,100,13.946563
109.1203,71,13.959141
61.097673,26,13.963778
260.482789,100,13.980404
75.304535,66,13.993151
81.39926,71,14.004979
116.737902,100,14.022437
37.660541,17,14.02547
69.077199,61,14.035886
161.592279,100,14.052859
121.577586,100,14.07029
260.492905,100,14.087446
122.474887,100,14.10485
24.070377,24,14.109068
260.432958,100,14.125494
36.263328,34,14.131307
260.451451,100,14.148037
11.86383,14,14.150538
121.361029,100,14.169413
123.070097,100,14.18629
161.53713,100,14.589709
122.008849,100,14.607066
122.657675,100,14.623995
161.70823,100,14.640574
162.667924,65,14.651654
121.924501,100,14.668507
161.74211,100,14.68517
121.580856,100,14.701862
123.247351,100,14.720197
123.094591,100,14.736976
260.529471,100,14.754443
260.506267,100,14.771468
123.270641,100,14.78892
260.45118,100,14.805563
72.881149,64,14.816468
121.943112,100,14.833157
161.561264,100,14.850624
161.600609,100,14.867978
260.454133,100,14.886883
123.387103,100,14.904235
121.925779,100,14.921019
69.220775,61,14.931307
122.947297,100,15.337479
260.518774,100,15.355107
123.343765,100,15.37172
32.984278,31,15.377183
15.406598,13,15.379396
54.22455,37,15.385502
40.942584,38,15.392047
260.441806,100,15.409364
122.314424,100,15.426725
121.819237,100,15.444149
161.753363,100,15.463254
260.54647,100,15.480773
161.70857,100,15.497868
260.442764,100,15.515058
260.506903,100,15.532163
78.725019,68,15.543499
260.543847,100,15.560295
121.640884,100,15.576885
122.525116,100,15.594265
260.506584,100,15.611427
123.213906,100,15.630413
260.48379,100,15.647786
260.49251,100,15.665038
260.516371,100,16.070462
98.426394,85,16.085215
122.031297,100,16.102488
123.020801,100,16.120581
161.658986,100,16.138441
144.599344,93,16.154409
260.532366,100,16.171761
161.766698,100,16.191896
149.615026,60,16.202792
122.539203,100,16.220784
161.752677,100,16.237968
122.021582,100,16.254765
121.727451,100,16.271489
121.712128,100,16.288224
123.449248,100,16.305344
260.387724,100,16.323312
260.502438,100,16.341039
260.464377,100,16.358264
161.664653,100,16.376843
123.427511,100,16.393642
260.539398,100,16.410341
122.643436,100,16.816769
260.546376,100,16.833633
161.704597,100,16.850364
123.076331,100,16.867009
161.737055,100,16.884702
161.774167,100,16.902291
121.515874,100,16.91915
122.899453,100,16.939846
123.416707,100,16.956688
122.235171,100,16.973356
121.619734,100,16.990769
121.739371,100,17.008193
